0;1
2021-04-29 17:20:07+00:00;@cgstpklzone @gsthelpline @GST_Council @Infosys_GSTN @FinanceMinist12 @nsitharaman @PMOIndia @CgstGurugram @cbic_india Request your immediate attention. We are losing business everyday. Please help !!
2021-04-29 17:19:25+00:00;"Infosys Q4 result preview: What investors are expecting https://t.co/5Myc9sd9Cd 
#Bengaluru #Bloomberg #Economist #infosys #LiveStockRates #News247live #TBG https://t.co/V1qfIO4aen"
2021-04-29 17:18:52+00:00;"@Infosys_GSTN; Raised a Ticket &amp; received standardised response for sending screenshot / json inspite of the fact  that screenshot is not applicable. Does anyone @helpdesk really reads the content of the docket?"
2021-04-29 17:17:33+00:00;@TCS @Infosys Pls create an App for suppliers and consumers giving info about availability of beds, oxygen, medicines, Plasma etc 2 fight Covid. Govts helpless. Needed Pvt initiative. Urgent requirement 🙏 Your other good work is deeply appreciated by all Indians. @narendramodi
2021-04-29 17:14:59+00:00;@Infosys_GSTN Very Very Good
2021-04-29 17:10:28+00:00;@parikh_pawan @rahulsaini1109 @Infosys_GSTN Normally by Junior on instructions from boss
2021-04-29 16:54:41+00:00;@ashishkjha As an American who worked for Infosys, visited Bangalore, and weekend tripped throughout some of the beautiful countryside, I am so sorry for this horrible pandemic sweeping the country. How can those outside of India help you? With love, your friends in the US.
2021-04-29 16:53:45+00:00;@CARashmiSurat @Infosys_GSTN You submitted undertaking for not filling of appeal against the refund order. However refund re-credit is altogether different procedure and that must be followed. Make an application for refund re-credit request to Jurisdictional officer.
2021-04-29 16:48:58+00:00;@CA_rhythm @Infosys_GSTN Submitted Undertaking physically almost year back, that too twice😕
2021-04-29 16:48:18+00:00;@rvd12 @sudhirgparmar @cbic_india @Infosys_GSTN @nsitharaman @FinMinIndia @GST_Council @ianuragthakur @aarchanay @SKHalakhandi They will not extend, as the goal is to achieve more n more revenue through late fee n penalties 😪
2021-04-29 16:48:04+00:00;@Infosys_GSTN Pls check April to June or Jan to march
2021-04-29 16:43:19+00:00;@Infosys_GSTN @blr_harish @askGST_GoI I'm asking for Infosys GSTN  PLEASE SOLVE PROBLEM FOR SUSPENSION GST
2021-04-29 16:42:04+00:00;@Infosys_GSTN @GST_Council @FinMinIndia @cbic_india @PMOIndia Why to raise ticket. It is software mistake. Let every one knows it. Also the summary skips total of all months except Mar. A big BUG in the software.
2021-04-29 16:42:00+00:00;@Infosys_GSTN @blr_harish @askGST_GoI Same thing happened my client also still they didn't solved the problem for gst suspension they don't know how to activate gst even do know Dc sir also  we need to raise comlaint to gst technical department
2021-04-29 16:40:11+00:00;Since Indian IT solves world problems @BSYBJP @Tejasvi_Surya can we outsource #COVIDEmergency and #VaccinationForAll management to @Infosys or @Wipro or @hcltech from inefficient #BBMP b4 it’s too late pls @nasscom @FollowCII
2021-04-29 16:32:42+00:00;@CARashmiSurat @Infosys_GSTN You need to refund re-credit application to the Jurisdictional officer.
2021-04-29 16:30:22+00:00;@Sudhir65503728 @parikh_pawan @Infosys_GSTN GST is online portal can be accessed even from heaven.
2021-04-29 16:28:50+00:00;@Infosys_GSTN Don't  hope  humanity from  shameless govt. specially from hon'ble FM.
2021-04-29 16:24:25+00:00;@Infosys_GSTN @cbic_india Seems gst council seems every thing is normal no COVID nothing all are well. Had hai yaar
2021-04-29 16:23:46+00:00;"Closing Report on 29th April 2021 !
. 
#AxisBank #icicibank #hdfcbank #ITC #Infosys #HDFC #TCS #ONGC #BPCL
#TataMotors #Adaniports #coalindia #stockmarkets #entrepreneur
#stockmarketing #indianstockmarket #startups #stockmarket #startupindia #business #economy #finance https://t.co/ku48LTPyPE"
2021-04-29 16:22:58+00:00;"Closing Report on 29th April 2021 !
. 
#AxisBank #icicibank #hdfcbank #ITC #Infosys #HDFC #TCS #ONGC #BPCL
#TataMotors #Adaniports #coalindia #stockmarkets #entrepreneur
#stockmarketing #indianstockmarket #startups #stockmarket #startupindia #business #economy #finance https://t.co/P2ELUqJ34l"
2021-04-29 16:22:04+00:00;My daughter Ms. Sayali Gogarkar. She is suffering from end stage chronic kidney disease. The treatment for this disease is maintenance haemodialysis and/or renal transplantation as a life saving procedure. @tatatrusts @narendramodi @anandmahindra @Infosys @priyankachopra
2021-04-29 16:19:52+00:00;"Closing Report on 29th April 2021 !
. 
#AxisBank #icicibank #hdfcbank #ITC #Infosys #HDFC #TCS #ONGC #BPCL
#TataMotors #Adaniports #coalindia #stockmarkets #entrepreneur
#stockmarketing #indianstockmarket #startups #stockmarket #startupindia #business #economy #finance https://t.co/521enD6XU6"
2021-04-29 16:03:11+00:00;@Infosys_GSTN @cbic_india Atleast waive off the late fees and intrest.
2021-04-29 16:00:02+00:00;This paper by Amit Vats and Bandeep Kaur explores how #blockchain can help organizations reimagine procure-to-pay processes with added trust, transparency, and efficiency. Read more https://t.co/telvHccoac #ProcureToPay https://t.co/RX5NRyj0cv
2021-04-29 15:59:19+00:00;"@nsitharaman @CAclubindia @Infosys_GSTN @cbic_india @GST_Council @FinMinIndia
@taxguru_in #ExitPolls
Just hope God gives some wisdom to our finance department 🙏"
2021-04-29 15:59:10+00:00;"@Infosys_GSTN I have raised ticket with screenshot as suggested and DM as well.
Plz look into the issue and revert ASAP,🙏"
2021-04-29 15:57:04+00:00;"@Infosys_GSTN @cbic_india What a shame people who lives in India 

You don't have emotions 

Aapko bhi dm ki tarah suspend kar dena chahiye"
2021-04-29 15:56:00+00:00;"Infosys FA is a parallel universe to me being ""mujhe sab kuchh aata hain"" ! 😐"
2021-04-29 15:49:11+00:00;Automate your AWS #DevOps validation pipeline with the @Infosys cloud ☁️ infrastructure validation solution: https://t.co/IKsK5HgiV5 https://t.co/LElfLz9f1n
2021-04-29 15:46:47+00:00;@canarayansarda @Paritalakiran @Infosys_GSTN @PMOIndia @CNBCTV18Live @FinMinIndia Cross the bridge when you approach before crossing hights of idiocracies !
2021-04-29 15:45:53+00:00;"SC Extends Limitation periods.

SEBI Extends due dates.

MCA Extends due dates.

Income Tax Dept Extends due dates.

Whats wrong with GST Council?🤔

 @Infosys_GSTN
@GST_Council 
@nsitharaman @FinMinIndia @RahulGandhi 
@PMOIndia"
2021-04-29 15:44:26+00:00;@CARubyAnsari @Infosys_GSTN @cbic_india Lock down in our city offices r not open ...how it possible....?
2021-04-29 15:42:36+00:00;@Infosys_GSTN People are struggling due to covid. You are fixing due dates. Shame really
2021-04-29 15:40:35+00:00;@Infosys_GSTN This government has gone made
2021-04-29 15:40:27+00:00;@Infosys_GSTN @cbic_india Heartless department
2021-04-29 15:36:48+00:00;"@Infosys_GSTN India me log zindagi se opt out ho rhe hai aur inko qrmp scheme ki last date ki fikar ho rhi hai.... bas inko due dates extend nhi krna...
Please #Extend_Due_Dates_Immediately"
2021-04-29 15:31:43+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman QRMP is certainly beneficial for delay return filers as they can save penalties for two months.
2021-04-29 15:29:56+00:00;@cbic_india @Infosys_GSTN @askGST_GoI ARN no. AA2704210488660 GST REG 14, submission date 12/04/2021..is still pending for processing..please take an appropriate action for this ARN.
2021-04-29 15:28:43+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman I have opted IN all my Clients,. Due to Covid.. we all will not get extensions. So next filing is in July. I may shut my office almost 2 months with 4-5 working days.  I am sorry for ITC to receipents. Life First Compliance Second. Interest will be less as compared to late fees.
2021-04-29 15:26:55+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman More than 30 in our office
2021-04-29 15:23:09+00:00;Big Data And Data Engineering Services Market Growth Analysis, Varieties And Analysis Of Key Accenture,Capgemini,Cognizant,Genpact,Happiest Minds,Hexaware,Infosys,KPMG – Forecasts To 2025| Accenture,Capgemini,Cognizant,Genpact,Happiest… https://t.co/UU4ae6LEvO
2021-04-29 15:20:28+00:00;@rambajajbikaner Fees to be paid to Infosys
